0001 0034-986-240977 0034-981-240977 12022022 140250 12022022 141200 00000600 0000001200
0001 0034-986-240977 0034-982-240977 12022022 140300 12022022 141200 00000540 0000001080
0002 0034-982-240977 0034-900-240977 12022022 140420 12022022 141200 00000480 0000000000
0002 0034-981-240977 0034-981-240977 12022022 140500 12022022 141200 00000420 0000000840
0001 0034-986-240977 0036-981-240977 12022022 140250 12022022 141200 00000600 0000006000
0001 0034-986-240977 0036-982-240977 12022022 140300 12022022 141200 00000540 0000005400
0002 0034-982-240977 0034-900-240977 13022022 140420 13022022 141200 00000480 0000000000
0002 0034-981-240977 0034-981-240977 13022022 140500 13022022 141200 00000420 0000000840
0003 0034-981-241977 0034-981-240977 13022022 140500 13022022 141200 00000420 0000000840
0003 0034-981-241977 0039-981-240977 13022022 140500 13022022 141200 00000420 0000004200
